#{"t_start": 1772874617.7311068, "env_id": "None"}
r,l,t
20.700001,47,49.908381
22.850002,47,49.960781
20.550002,47,50.003541
27.250002,47,50.044612
19.050001,47,50.085183
18.250001,47,50.126387
28.650002,47,50.16795
25.400001,47,50.209053
28.250002,47,50.250478
24.700002,47,50.300237
19.900001,47,50.34198
26.150001,47,50.381896
18.950001,47,50.4282
24.000002,47,50.468212
25.050001,47,50.50819
14.650001,47,50.54972
23.200001,47,50.589839
16.800002,47,50.630717
21.900001,47,50.67047
22.700002,47,50.711425
28.350001,47,50.751839
21.400001,47,50.795835
17.100001,47,50.844662
28.650001,47,50.89276
18.650001,47,50.939525
10.750001,47,50.981735
19.850001,47,51.023408
17.198592,47,51.065023
25.850001,47,52.353336
26.600002,47,52.405485
23.200002,47,52.450197
26.800002,47,52.491248
23.400002,47,52.53329
3.491649,47,52.575999
28.950001,47,52.617232
17.850001,47,52.658412
21.850001,47,52.700442
22.100002,47,52.741107
28.350001,47,52.785975
29.150002,47,52.839004
17.938224,47,52.880281
17.900002,47,52.923366
19.850001,47,52.964601
21.550002,47,53.007245
24.300002,47,53.047936
24.050002,47,53.089166
26.000001,47,53.131351
35.350002,47,53.175084
25.400002,47,53.217423
19.850001,47,53.259065
21.150001,47,53.30082
23.500001,47,53.342189
28.100002,47,53.383299
6.511852,47,53.437041
19.650002,47,53.478088
23.400002,47,53.519561
22.500001,47,53.562376
31.650002,47,53.603677
29.500002,47,53.645853
28.900001,47,53.686926
25.000002,47,53.729126
27.500002,47,53.7703
23.750002,47,53.813118
26.050002,47,53.854673
25.900001,47,53.896243
23.400002,47,53.937372
28.800002,47,53.978487
22.300001,47,54.019473
28.350001,47,54.06058
20.500001,47,54.102052
23.200002,47,54.14451
27.687401,47,54.18602
29.650002,47,55.399725
5.055194,47,55.447081
30.150002,47,55.49651
29.200002,47,55.54045
31.100002,47,55.583413
33.500002,47,55.628395
31.200002,47,55.670732
30.100002,47,55.712914
24.238225,47,55.754478
21.200002,47,55.797018
28.300002,47,55.83898
27.400002,47,55.879986
19.015033,47,55.921119
27.000001,47,55.96197
25.600002,47,56.004176
24.650002,47,56.045002
30.300001,47,56.08649
25.900002,47,56.127274
27.350002,47,56.170017
28.500002,47,56.211188
29.250002,47,56.253306
29.950001,47,56.295151
31.750002,47,56.336489
29.500001,47,56.377731
27.000002,47,56.424183
24.050002,47,56.465338
33.750001,47,56.506448
23.300002,47,56.557563
17.499847,47,56.599959
29.450002,47,56.641033
20.377872,47,56.682291
30.950002,47,56.723488
34.450002,47,56.764574
33.000001,47,56.806456
21.950002,47,56.848519
31.700001,47,56.889505
31.950001,47,56.930747
21.850002,47,56.971905
27.650002,47,57.013161
29.250002,47,57.054255
32.850002,47,57.096137
20.050002,47,57.137021
32.600001,47,57.179319
21.542184,47,58.751404
5.659419,47,58.798692
28.350002,47,58.846263
38.600001,47,58.893127
25.650002,47,58.941719
29.500002,47,58.989142
33.464086,47,59.036182
32.450002,47,59.083296
24.334716,47,59.131187
26.800002,47,59.180045
36.750002,47,59.227699
31.450002,47,59.27468
36.200002,47,59.322369
34.900002,47,59.369351
38.400002,47,59.418401
29.250002,47,59.470533
19.253115,47,59.524706
-16.476162,47,59.58264
28.250002,47,59.636337
34.300002,47,59.688529
33.250002,47,59.749427
33.950002,47,59.805786
38.450002,47,59.853218
31.700002,47,59.906162
29.750002,47,59.954102
26.200002,47,60.003359
23.052101,47,60.057419
27.450002,47,60.106539
20.750002,47,60.156495
25.000002,47,60.206929
23.032126,47,60.255805
33.250002,47,60.305157
25.188225,47,60.36397
31.250002,47,60.41497
5.983404,47,60.466233
33.050002,47,60.514908
32.150002,47,60.567347
28.100002,47,60.617478
34.650002,47,60.665639
28.070737,47,60.713202
37.050002,47,60.76042
36.850002,47,60.81352
33.300002,47,60.872512
13.796649,47,60.930994
29.350002,47,62.579461
34.800002,47,62.621164
37.550002,47,62.663909
26.550002,47,62.705148
42.095291,47,62.748687
36.400002,47,62.791763
36.000002,47,62.833166
25.200002,47,62.873624
35.500002,47,62.914734
